tree_depth,min_n,cost_complexity,mean,std_err
16,11,0.0043547210387545965,0.17457633247818788,0.0051057260382997155
20,5,0.0044210854033128865,0.17457633247818788,0.0051057260382997155
19,3,0.00036076829096386034,0.17433031142412103,0.0055533938787856035
11,16,0.004020265142518666,0.17420819012981317,0.00478268925305386
19,20,0.004184128046339556,0.17420819012981317,0.00478268925305386
16,6,3.645701270715583e-4,0.17407667260970539,0.005683981899178383
5,8,1.2715469191682758e-4,0.17391243132529763,0.005618985576403621
5,2,1.5227471048300109e-4,0.17391243132529763,0.005618985576403621
19,19,0.0038577012011259387,0.17320312002122304,0.005191729996726855
17,19,0.0036924576528245146,0.17316577224675023,0.005181251197437325
6,9,0.002663725094938877,0.1731545679144084,0.004787185929847117
20,6,0.0033869671137734844,0.1731269720588257,0.005227888007458033
13,20,0.0035073734157962254,0.1731269720588257,0.005227888007458033
12,19,0.0032898701522676077,0.17303938263535976,0.005230264077667405
15,5,0.0033279114445748737,0.17303938263535976,0.005230264077667405
11,4,0.0033544003957314667,0.17303938263535976,0.005230264077667405
18,2,0.0031526284479851526,0.17293137050029717,0.005253388649708557
7,7,0.002744233561147608,0.1723317312323728,0.004701005502070507
10,20,0.002927884023283572,0.17211629978406467,0.0047838008600449965
6,14,0.0025224032053766028,0.17210936376880542,0.005268198642637782
16,15,0.002785109314896668,0.17201139996354148,0.004699308338792405
12,8,0.0028287468425051503,0.17201139996354148,0.004699308338792405
18,13,0.0026940444577014133,0.17180791387484642,0.004766722341888345
10,10,0.0026458789989138023,0.17170328082414088,0.004822223641747291
12,20,0.0026702644226572346,0.17170328082414088,0.004822223641747291
7,5,0.002515356036510754,0.17081695292550156,0.00531881692472447
20,15,0.002599552548878789,0.1703102681184873,0.005351357401071037
12,18,0.002473443448413651,0.170145137601354,0.0054347722329320175
10,2,0.0024885333787642897,0.170145137601354,0.0054347722329320175
12,17,0.0023484620270911136,0.17012266965448863,0.005426412252470766
18,12,0.0023771167545481803,0.17012266965448863,0.005426412252470766
16,4,0.0023989402928759358,0.17012266965448863,0.005426412252470766
18,2,0.0022884166059780765,0.16903964347695924,0.005198605922608904
9,7,0.002133383009650956,0.16796201197796481,0.005401857736277483
19,5,0.0021439103009754583,0.16796201197796481,0.005401857736277483
11,3,2.8099485029526813e-4,0.16758432519833594,0.007367676744498089
