number,value,learning_rate,max_depth,subsample,colsample_bytree,std_err
42,0.7618768032151958,0.2330765859456733,8,0.8036910885944962,0.6637144231237471,0.003410094658086476
35,0.7611528509042739,0.011175874250475318,3,0.756270827841945,0.784952432755381,0.004383119717125422
93,0.7604143746421635,0.36187202532775703,4,0.8305586954113096,0.8819841543212533,0.002994256473161651
16,0.754680220483402,0.544295687393751,2,0.3515382613055408,0.7439288509078323,0.004182344953305759
60,0.7543301722105594,0.4909544786135666,9,0.841825839295052,0.7938092838972808,0.00398039656380611
20,0.753670840957823,0.27340293042594566,6,0.6746569566661492,0.7223705276846886,0.0013658884834317185
89,0.7534854676291298,0.1277949451492168,10,0.3140015139244497,0.8006170647218824,0.002585891580726923
14,0.7528718131504204,0.42850179250352083,5,0.8758846923941747,0.7778856842778623,0.004022734777470304
41,0.7510420759567565,0.9853095358400605,2,0.6171425339998677,0.5914911410771311,0.005466932543793263
57,0.750792993702078,0.4469811014900915,4,0.6340460716979578,0.5322989297099412,0.004009768149356166
45,0.750587763957026,0.6285926757007837,9,0.9025637644343079,0.7168352013453841,8.288247280005755e-4
47,0.7487056844078718,0.47613590125460176,4,0.6657841023756191,0.5615332426503301,0.0018604787144686987
39,0.748657762385352,0.5280140918772668,4,0.7972275071777404,0.8945385864004494,0.002546641123472316
21,0.7479099543091932,0.2048276433092542,4,0.16627722738776357,0.7631511851213872,0.006191373441500114
59,0.7477036721039101,0.548526943193283,2,0.30107806071173404,0.6776913507841528,0.004761129036140096
36,0.7468450048834154,0.3736064846417867,2,0.1498691802378744,0.7046491685323417,0.005068788374327985
88,0.7464104089720129,0.36874695277074354,10,0.5149825453059748,0.7669087116606534,0.002662540948759361
71,0.7462421556630779,0.6181886325427332,4,0.8678279133979231,0.5112741311080754,0.0030645861142879326
92,0.7459626222257149,0.7735183521616272,10,0.8611397409811616,0.5632798387669027,0.0032959441821798718
10,0.7458209610786174,0.6240038946410641,3,0.6628382950788364,0.7906170967966318,0.003515281317230856
48,0.7449074957620935,0.703660635096021,10,0.7915002845460549,0.8954519608058036,0.0018348468066809655
66,0.7447628175623338,0.6175824300665408,7,0.8689267591107637,0.637435530219227,0.0042479567032305925
29,0.7446586941634765,0.4564410061528906,8,0.5681064162403345,0.8402089583687484,0.0029723437311301995
73,0.7424181466596316,0.3937169793760404,7,0.547952332906425,0.6977698138915003,0.0029002652661329125
4,0.7419850943565679,0.4821222242084332,9,0.6363998184446246,0.5358785616233945,0.0023559452477845285
86,0.7418847598145425,0.1803502294723876,7,0.22692051916383207,0.6353694008663296,0.0036381829541365838
62,0.7416340637875097,0.5602923539001494,3,0.4304388215765357,0.8587884842418134,0.004420584320778763
23,0.7410486854070074,0.8202093951753341,3,0.6716043632943183,0.5598024950362742,0.0030706204284697935
99,0.7407436824320531,0.690631035012193,4,0.7991311323130503,0.8977603091858328,0.004380839921454777
58,0.7406098094906653,0.23207371706841515,7,0.36663154282141475,0.7681537156924605,0.0015184964133766994
