tree_depth,min_n,cost_complexity,mean,std_err
12,8,0.0028287468425051503,0.22786897083772084,0.0021475680969806196
10,20,0.002927884023283572,0.22785745363870366,0.002207509361455873
13,12,2.514218432857381e-4,0.22566068503568504,0.0036139807892609545
6,14,0.0025224032053766028,0.22511837121212122,0.006815680143971702
18,16,1.3375694641755922e-4,0.22250725766350765,0.003508828262713455
14,10,6.336316641047575e-4,0.2222627457002457,0.005307010804226941
20,15,0.002599552548878789,0.22112208596583596,0.005085847910532039
12,5,0.0015883489330541806,0.2207968622031122,0.0042641753325774
15,9,0.0011688576681741173,0.22038050631800632,0.004074003451086825
12,7,6.414505320224914e-4,0.22018087486837487,0.003523771146324082
7,5,0.002515356036510754,0.21957805004680006,0.0073605570540076866
10,2,0.0024885333787642897,0.21943984365859368,0.006794799807719275
12,18,0.002473443448413651,0.21935200216450218,0.006470113714530181
18,2,0.0022884166059780765,0.21900749166374167,0.0064657138585478575
18,12,0.0023771167545481803,0.21900749166374167,0.0064657138585478575
16,4,0.0023989402928759358,0.21900749166374167,0.0064657138585478575
12,17,0.0023484620270911136,0.21891754782379783,0.006436279928794747
20,4,0.0020589470663920583,0.21883902977652978,0.005169402907197936
16,16,0.001229669631619039,0.21791737963612964,0.004785201189485938
19,5,0.0021439103009754583,0.2176532153094653,0.006207801488645833
9,7,0.002133383009650956,0.21742469945594947,0.00658260405113103
17,13,0.0010235317988206182,0.2173704954954955,0.004468566641643052
18,14,0.001723600108072116,0.21733192201942203,0.004595438681452274
19,10,9.179748711786594e-4,0.21636100386100385,0.00384469636277843
15,18,0.0013776767089410586,0.21597380659880658,0.004473040314609588
10,15,0.0017653011239967627,0.21579538142038143,0.00567965497261176
18,15,2.7313407237667834e-4,0.21481276325026324,0.005239334417368087
5,20,5.322371432044574e-4,0.2139789546039546,0.0031422260819583044
13,17,0.0010126803361260508,0.21359943547443547,0.006005189314940304
12,10,4.8124758437687493e-4,0.21338252822627823,0.004628281284532203
10,8,1.6576232441952555e-4,0.21329943986193986,0.004249619192322323
13,14,2.524095328239466e-4,0.2128301597051597,0.005086576026939793
20,13,9.080011613559363e-4,0.21243610696735696,0.0035337156321011854
16,14,9.189689409121072e-4,0.2120934245934246,0.002969446190793212
5,2,1.5227471048300109e-4,0.21194360959985958,0.0015476983066544656
5,8,1.2715469191682758e-4,0.2113267996080496,0.0017395817064740193
10,7,0.0011775648272904754,0.21079801392301392,0.004885735872287127
6,19,7.62459659083838e-4,0.21044363153738155,0.0032706441029490513
10,10,1.547176209679297e-4,0.21021310474435473,0.0036510602871774123
9,4,7.916731704507239e-4,0.20945790555165555,0.0037585241094704896
13,16,5.86636976810182e-4,0.20891312375687376,0.003134652813562
10,7,4.0723326190573544e-4,0.20873844623844623,0.004143704159362307
10,11,1.3362270153486608e-4,0.20870389464139463,0.0035810658448385954
19,18,2.743262518576429e-4,0.2084771155083655,0.003943817810883082
10,11,2.073094611171689e-4,0.2080144166081666,0.0035688297868992033
14,17,4.988741676921019e-4,0.2073408432783433,0.0036434148820511957
6,11,3.375500806079333e-4,0.20711653211653214,0.0026465534727053083
9,9,1.7530005079843415e-4,0.20550960863460863,0.002609961256393734
13,20,6.256475350771036e-4,0.20527204355329356,0.0029506889670314175
6,2,2.1868375611959966e-4,0.20475121021996023,0.0021771640079049854
11,16,1.0906724524733475e-4,0.2047179383116883,0.00255112863067981
6,6,1.6273576053788883e-4,0.20466994998244997,0.002366697338362018
7,11,7.886998100035289e-4,0.2046324733824734,0.003036366265410765
13,20,2.815530054326169e-4,0.20366484585234584,0.004783867590980464
10,16,9.004797584648696e-4,0.20336640414765414,0.0037217417833179476
12,18,5.044173583700123e-4,0.2030387124137124,0.0030538813398398043
9,4,5.062193656513302e-4,0.20258634243009244,0.002134445278801781
10,14,2.2003713335362992e-4,0.20176916973791972,0.002621335644065567
11,18,1.4599271217569343e-4,0.201645953989704,0.002271503486421715
10,15,2.551191139441933e-4,0.19976883336258336,0.0025227924592574526
10,17,1.8190662569604848e-4,0.19966618404118405,0.002054488868499555
8,4,5.609311700988408e-4,0.19797215031590032,0.003048064862435422
7,4,4.7081012459169026e-4,0.19729373244998244,0.0025565665275012837
8,12,5.532441415761456e-4,0.197140444015444,0.0027952789075753144
7,8,1.236374737258647e-4,0.1971201518076518,0.002368183134874414
9,18,3.4981413219779616e-4,0.19687454296829296,0.0015320099608619687
7,19,1.0076435299388258e-4,0.19683560386685386,0.002789298130308311
7,20,1.9760371720955558e-4,0.1961628531941032,0.002709943847971012
8,16,4.374396630099018e-4,0.19460501491751492,0.0024585526027921124
